Scheduling code,Purpose,Level,Subject,Tutor,Day,Centre,Classroom,Capacity,Date (text),Start Time,Subject(Display),Topic,Date,Timeslot (+2hr),Video Guides,Address,Address Var,Form Question,Form Controls,Form Option to Display,ConfirmationMsg Template,Form Entry,Duplicate class,No. Regular S,No. Signups,Total Signups,Signups / Capacity,No. Confirmed,Total Signups | Confirmed | Capacity,Confirmed Capacity%,Level,Level1,Subject,Subject1,Subject2,Centre,Tutor
Pri JunCC<>P5 2026<>Pri - Science<>Katherine<>Wednesday<>Bishan<>BS-4<>15<>3 Jun<>1:00 pm<>,Pri JunCC,P5 2026,Pri - Science,Katherine,Wednesday,Bishan,BS-4,15,03 Jun (Wed),1:00:00 PM,P5 Science,,6/3/2026,12:30PM - 02:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Science,Default,[P5 Science] Bishan | 03 Jun (Wed) | 12:30PM - 02:30PM,P5 Science - Bishan - 03 Jun Wed 1:00PM,[P5 Science] Bishan | 03 Jun (Wed) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PSci,PSci,PSci,Bishan CC,Katherine
Pri JunCC<>P5 2026<>Pri - Math<>Abi<>Friday<>Bishan<>BS-4<>15<>5 Jun<>10:00 am<>,Pri JunCC,P5 2026,Pri - Math,Abi,Friday,Bishan,BS-4,15,05 Jun (Fri),10:00:00 AM,P5 Math,,6/5/2026,10:00AM - 12:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Math,Default,[P5 Math] Bishan | 05 Jun (Fri) | 10:00AM - 12:00PM,P5 Math - Bishan - 05 Jun Fri 10:00AM,[P5 Math] Bishan | 05 Jun (Fri) | 10:00AM - 12:00PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PMath,PMath,PMath,Bishan CC,Abi
Pri JunCC<>P5 2026<>Pri - Eng<>Ju<>Wednesday<>Bishan<>BS-5<>15<>3 Jun<>1:00 pm<>,Pri JunCC,P5 2026,Pri - Eng,Ju,Wednesday,Bishan,BS-5,15,03 Jun (Wed),1:00:00 PM,P5 English,,6/3/2026,12:30PM - 02:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 English,Default,[P5 English] Bishan | 03 Jun (Wed) | 12:30PM - 02:30PM,P5 English - Bishan - 03 Jun Wed 1:00PM,[P5 English] Bishan | 03 Jun (Wed) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PEng,PEng,PEng,Bishan CC,Ju
Pri JunCC<>P6 2026<>Pri - Eng<>Jolene<>Friday<>Bishan<>BS-5<>15<>5 Jun<>1:00 pm<>,Pri JunCC,P6 2026,Pri - Eng,Jolene,Friday,Bishan,BS-5,15,05 Jun (Fri),1:00:00 PM,P6 English,,6/5/2026,12:30PM - 02:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P6 English,Default,[P6 English] Bishan | 05 Jun (Fri) | 12:30PM - 02:30PM,P6 English - Bishan - 05 Jun Fri 1:00PM,[P6 English] Bishan | 05 Jun (Fri) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P6,Pri,PEng,PEng,PEng,Bishan CC,Jolene
Pri JunCC<>P5 2026<>Pri - Science<>Vivien<>Friday<>King Albert Park<>KAP-1<>15<>5 Jun<>10:00 am<>,Pri JunCC,P5 2026,Pri - Science,Vivien,Friday,King Albert Park,KAP-1,15,05 Jun (Fri),10:00:00 AM,P5 Science,,6/5/2026,10:00AM - 12:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Science,Default,[P5 Science] King Albert Park | 05 Jun (Fri) | 10:00AM - 12:00PM,P5 Science - King Albert Park - 05 Jun Fri 10:00AM,[P5 Science] King Albert Park | 05 Jun (Fri) | 10:00AM - 12:00PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PSci,PSci,PSci,King Albert Park,Vivien
Pri JunCC<>P6 2026<>Pri - Science<>Vivien<>Friday<>King Albert Park<>KAP-1<>15<>5 Jun<>12:00 pm<>,Pri JunCC,P6 2026,Pri - Science,Vivien,Friday,King Albert Park,KAP-1,15,05 Jun (Fri),12:00:00 PM,P6 Science,,6/5/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Science,Default,[P6 Science] King Albert Park | 05 Jun (Fri) | 12:30PM - 02:30PM,P6 Science - King Albert Park - 05 Jun Fri 12:00PM,[P6 Science] King Albert Park | 05 Jun (Fri) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P6,Pri,PSci,PSci,PSci,King Albert Park,Vivien
Pri JunCC<>P5 2026<>Pri - Science<>Chen Hong<>Monday<>King Albert Park<>KAP-2<>15<>1 Jun<>1:00 pm<>,Pri JunCC,P5 2026,Pri - Science,Chen Hong,Monday,King Albert Park,KAP-2,15,01 Jun (Mon),1:00:00 PM,P5 Science,,6/1/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Science,Default,[P5 Science] King Albert Park | 01 Jun (Mon) | 12:30PM - 02:30PM,P5 Science - King Albert Park - 01 Jun Mon 1:00PM,[P5 Science] King Albert Park | 01 Jun (Mon) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PSci,PSci,PSci,King Albert Park,Chen Hong
Pri JunCC<>P6 2026<>Pri - Science<>Chen Hong<>Tuesday<>King Albert Park<>KAP-3<>15<>2 Jun<>1:00 pm<>,Pri JunCC,P6 2026,Pri - Science,Chen Hong,Tuesday,King Albert Park,KAP-3,15,02 Jun (Tue),1:00:00 PM,P6 Science,,6/2/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Science,Default,[P6 Science] King Albert Park | 02 Jun (Tue) | 12:30PM - 02:30PM,P6 Science - King Albert Park - 02 Jun Tue 1:00PM,[P6 Science] King Albert Park | 02 Jun (Tue) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P6,Pri,PSci,PSci,PSci,King Albert Park,Chen Hong
Pri JunCC<>P6 2026<>Pri - Math<>Kaiying<>Tuesday<>Bishan<>BS-3<>15<>16 Jun<>10:00 am<>,Pri JunCC,P6 2026,Pri - Math,Kaiying,Tuesday,Bishan,BS-3,15,16 Jun (Tue),10:00:00 AM,P6 Math,,6/16/2026,10:00AM - 12:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P6 Math,Default,[P6 Math] Bishan | 16 Jun (Tue) | 10:00AM - 12:00PM,P6 Math - Bishan - 16 Jun Tue 10:00AM,[P6 Math] Bishan | 16 Jun (Tue) | 10:00AM - 12:00PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P6,Pri,PMath,PMath,PMath,Bishan CC,Kaiying
Pri JunCC<>P6 2026<>Pri - Science<>Katherine<>Wednesday<>Bishan<>BS-3<>15<>17 Jun<>1:00 pm<>,Pri JunCC,P6 2026,Pri - Science,Katherine,Wednesday,Bishan,BS-3,15,17 Jun (Wed),1:00:00 PM,P6 Science,,6/17/2026,12:30PM - 02:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P6 Science,Default,[P6 Science] Bishan | 17 Jun (Wed) | 12:30PM - 02:30PM,P6 Science - Bishan - 17 Jun Wed 1:00PM,[P6 Science] Bishan | 17 Jun (Wed) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P6,Pri,PSci,PSci,PSci,Bishan CC,Katherine
Pri JunCC<>P5 2026<>Pri - Math<>Abi<>Friday<>Bishan<>BS-3<>15<>19 Jun<>10:00 am<>,Pri JunCC,P5 2026,Pri - Math,Abi,Friday,Bishan,BS-3,15,19 Jun (Fri),10:00:00 AM,P5 Math,,6/19/2026,10:00AM - 12:00PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 Math,Default,[P5 Math] Bishan | 19 Jun (Fri) | 10:00AM - 12:00PM,P5 Math - Bishan - 19 Jun Fri 10:00AM,[P5 Math] Bishan | 19 Jun (Fri) | 10:00AM - 12:00PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PMath,PMath,PMath,Bishan CC,Abi
Pri JunCC<>P5 2026<>Pri - Eng<>Ju<>Wednesday<>Bishan<>BS-4<>15<>17 Jun<>1:00 pm<>,Pri JunCC,P5 2026,Pri - Eng,Ju,Wednesday,Bishan,BS-4,15,17 Jun (Wed),1:00:00 PM,P5 English,,6/17/2026,12:30PM - 02:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 English,Default,[P5 English] Bishan | 17 Jun (Wed) | 12:30PM - 02:30PM,P5 English - Bishan - 17 Jun Wed 1:00PM,[P5 English] Bishan | 17 Jun (Wed) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PEng,PEng,PEng,Bishan CC,Ju
Pri JunCC<>P5 2026<>Pri - Eng<>Jolene<>Friday<>Bishan<>BS-5<>15<>19 Jun<>1:00 pm<>,Pri JunCC,P5 2026,Pri - Eng,Jolene,Friday,Bishan,BS-5,15,19 Jun (Fri),1:00:00 PM,P5 English,,6/19/2026,12:30PM - 02:30PM,bit.ly/zenithBISHAN,51 Bishan Street 13 #03-01 (Bishan CC) S579799,51 Bishan Street 13 #03-01 (Bishan CC) S579799  (Video Guide: bit.ly/zenithBISHAN),P5 English,Default,[P5 English] Bishan | 19 Jun (Fri) | 12:30PM - 02:30PM,P5 English - Bishan - 19 Jun Fri 1:00PM,[P5 English] Bishan | 19 Jun (Fri) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PEng,PEng,PEng,Bishan CC,Jolene
Pri JunCC<>P6 2026<>Pri - Math<>Jacelyn<>Tuesday<>King Albert Park<>KAP-1<>15<>16 Jun<>10:00 am<>,Pri JunCC,P6 2026,Pri - Math,Jacelyn,Tuesday,King Albert Park,KAP-1,15,16 Jun (Tue),10:00:00 AM,P6 Math,,6/16/2026,10:00AM - 12:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Math,Default,[P6 Math] King Albert Park | 16 Jun (Tue) | 10:00AM - 12:00PM,P6 Math - King Albert Park - 16 Jun Tue 10:00AM,[P6 Math] King Albert Park | 16 Jun (Tue) | 10:00AM - 12:00PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P6,Pri,PMath,PMath,PMath,King Albert Park,Jacelyn
Pri JunCC<>P5 2026<>Pri - Math<>Jacelyn<>Tuesday<>King Albert Park<>KAP-1<>15<>16 Jun<>12:00 pm<>,Pri JunCC,P5 2026,Pri - Math,Jacelyn,Tuesday,King Albert Park,KAP-1,15,16 Jun (Tue),12:00:00 PM,P5 Math,,6/16/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Math,Default,[P5 Math] King Albert Park | 16 Jun (Tue) | 12:30PM - 02:30PM,P5 Math - King Albert Park - 16 Jun Tue 12:00PM,[P5 Math] King Albert Park | 16 Jun (Tue) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PMath,PMath,PMath,King Albert Park,Jacelyn
Pri JunCC<>P5 2026<>Pri - Math<>Elva<>Wednesday<>King Albert Park<>KAP-2<>15<>17 Jun<>10:00 am<>,Pri JunCC,P5 2026,Pri - Math,Elva,Wednesday,King Albert Park,KAP-2,15,17 Jun (Wed),10:00:00 AM,P5 Math,,6/17/2026,10:00AM - 12:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Math,Default,[P5 Math] King Albert Park | 17 Jun (Wed) | 10:00AM - 12:00PM,P5 Math - King Albert Park - 17 Jun Wed 10:00AM,[P5 Math] King Albert Park | 17 Jun (Wed) | 10:00AM - 12:00PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PMath,PMath,PMath,King Albert Park,Elva
Pri JunCC<>P6 2026<>Pri - Math<>Elva<>Wednesday<>King Albert Park<>KAP-2<>15<>17 Jun<>12:00 pm<>,Pri JunCC,P6 2026,Pri - Math,Elva,Wednesday,King Albert Park,KAP-2,15,17 Jun (Wed),12:00:00 PM,P6 Math,,6/17/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Math,Default,[P6 Math] King Albert Park | 17 Jun (Wed) | 12:30PM - 02:30PM,P6 Math - King Albert Park - 17 Jun Wed 12:00PM,[P6 Math] King Albert Park | 17 Jun (Wed) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P6,Pri,PMath,PMath,PMath,King Albert Park,Elva
Pri JunCC<>P5 2026<>Pri - Science<>Chen Hong<>Monday<>King Albert Park<>KAP-3<>15<>15 Jun<>10:00 am<>,Pri JunCC,P5 2026,Pri - Science,Chen Hong,Monday,King Albert Park,KAP-3,15,15 Jun (Mon),10:00:00 AM,P5 Science,,6/15/2026,10:00AM - 12:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Science,Default,[P5 Science] King Albert Park | 15 Jun (Mon) | 10:00AM - 12:00PM,P5 Science - King Albert Park - 15 Jun Mon 10:00AM,[P5 Science] King Albert Park | 15 Jun (Mon) | 10:00AM - 12:00PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PSci,PSci,PSci,King Albert Park,Chen Hong
Pri JunCC<>P6 2026<>Pri - Science<>Chen Hong<>Tuesday<>King Albert Park<>KAP-3<>15<>16 Jun<>1:00 pm<>,Pri JunCC,P6 2026,Pri - Science,Chen Hong,Tuesday,King Albert Park,KAP-3,15,16 Jun (Tue),1:00:00 PM,P6 Science,,6/16/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Science,Default,[P6 Science] King Albert Park | 16 Jun (Tue) | 12:30PM - 02:30PM,P6 Science - King Albert Park - 16 Jun Tue 1:00PM,[P6 Science] King Albert Park | 16 Jun (Tue) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P6,Pri,PSci,PSci,PSci,King Albert Park,Chen Hong
Pri JunCC<>P5 2026<>Pri - Science<>Vivien<>Friday<>King Albert Park<>KAP-3<>15<>19 Jun<>10:00 am<>,Pri JunCC,P5 2026,Pri - Science,Vivien,Friday,King Albert Park,KAP-3,15,19 Jun (Fri),10:00:00 AM,P5 Science,,6/19/2026,10:00AM - 12:00PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P5 Science,Default,[P5 Science] King Albert Park | 19 Jun (Fri) | 10:00AM - 12:00PM,P5 Science - King Albert Park - 19 Jun Fri 10:00AM,[P5 Science] King Albert Park | 19 Jun (Fri) | 10:00AM - 12:00PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P5,Pri,PSci,PSci,PSci,King Albert Park,Vivien
Pri JunCC<>P6 2026<>Pri - Science<>Vivien<>Friday<>King Albert Park<>KAP-3<>15<>19 Jun<>12:00 pm<>,Pri JunCC,P6 2026,Pri - Science,Vivien,Friday,King Albert Park,KAP-3,15,19 Jun (Fri),12:00:00 PM,P6 Science,,6/19/2026,12:30PM - 02:30PM,https://tinyurl.com/zenithKAP,896 Dunearn Road Dunearn Village #04-16 S589472,896 Dunearn Road Dunearn Village #04-16 S589472  (Video Guide: https://tinyurl.com/zenithKAP),P6 Science,Default,[P6 Science] King Albert Park | 19 Jun (Fri) | 12:30PM - 02:30PM,P6 Science - King Albert Park - 19 Jun Fri 12:00PM,[P6 Science] King Albert Park | 19 Jun (Fri) | 12:30PM - 02:30PM,0,,0,0,0 / 15,,0 |  | 15,0.00%,P6,Pri,PSci,PSci,PSci,King Albert Park,Vivien
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
,,,,,,,,,,,,,,,,,,,Default,,,,,,0,0,,,0 |  | ,,,,,,,,
